,section1,section2
0,"{'km_range': [118.696, 119.007], 'properties': {5: 'Vluchtstrook'}, 'geometry': <LINESTRING (151282 409643, 151274 409641, 151255 409634, 151236 409628, 151...>}","{'km_range': [117.764, 119.122], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook', 4: 'Rijstrook'}, 'geometry': <LINESTRING (150895 409462, 150930 409480, 150965 409501, 150982 409511, 150...>}"
1,"{'km_range': [121.592, 121.632], 'properties': {4: 'Puntstuk'}, 'geometry': <LINESTRING (149145 407990, 149145 407982, 149145 407948)>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157126 390417, 157102 390448, 157078 390481, 157053 390512, 157...>}"
3,"{'km_range': [120.045, 120.485], 'properties': {4: 'Vluchtstrook'}, 'geometry': <LINESTRING (150091 409022, 150061 409013, 149959 408983, 149921 408971, 149...>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157126 390417, 157102 390448, 157078 390481, 157053 390512, 157...>}"
4,"{'km_range': [118.59, 119.133], 'properties': {2: 'Vluchtstrook'}, 'geometry': <LINESTRING (151394 409641, 151365 409627, 151344 409621, 151306 409608, 151...>}","{'km_range': [118.59, 119.15], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook'}, 'geometry': <LINESTRING (151394 409641, 151365 409627, 151344 409621, 151306 409608, 151...>}"
5,"{'km_range': [3.065, 3.244], 'properties': {2: 'Vluchtstrook'}, 'geometry': <LINESTRING (148824 408569, 148823 408566, 148823 408561, 148823 408553, 148...>}","{'km_range': [3.048, 3.244], 'properties': {'Baanpositie': 'R', 'Wegnummer': 65, 1: 'Rijstrook'}, 'geometry': <LINESTRING (148824 408569, 148823 408566, 148823 408561, 148823 408553, 148...>}"
6,"{'km_range': [119.93, 120.06], 'properties': {4: 'Puntstuk'}, 'geometry': <LINESTRING (150197 409078, 150161 409062, 150154 409059, 150116 409047, 150...>}","{'km_range': [119.898, 119.996], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (150129 409051, 150154 409059, 150161 409062, 150197 409078, 150...>}"
7,"{'km_range': [118.702, 118.81], 'properties': {3: 'Vluchtstrook'}, 'geometry': <LINESTRING (150915 409650, 150918 409650, 150922 409651, 150960 409652, 150...>}","{'km_range': [118.681, 118.764], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (150894 409646, 150910 409649, 150918 409650, 150922 409651, 150...>}"
8,"{'km_range': [3.592, 3.626], 'properties': {3: 'Puntstuk'}, 'geometry': <LINESTRING (148531 408205, 148511 408183, 148506 408177)>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'R', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (148088 407562, 148099 407577, 148155 407660, 148240 407787, 148...>}"
9,"{'km_range': [118.647, 118.696], 'properties': {5: 'Puntstuk'}, 'geometry': <LINESTRING (151334 409659, 151293 409647, 151282 409643)>}","{'km_range': [117.764, 119.122], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook', 4: 'Rijstrook'}, 'geometry': <LINESTRING (150895 409462, 150930 409480, 150965 409501, 150982 409511, 150...>}"
11,"{'km_range': [120.682, 120.854], 'properties': {4: 'Vluchtstrook'}, 'geometry': <LINESTRING (149492 408792, 149491 408791, 149482 408784, 149466 408772, 149...>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157111 390408, 157090 390439, 157054 390485, 157024 390523, 156...>}"
12,"{'km_range': [118.688, 119.005], 'properties': {3: 'Vluchtstrook'}, 'geometry': <LINESTRING (151298 409615, 151285 409611, 151252 409600, 151224 409590, 151...>}","{'km_range': [116.8, 119.301], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (152381 410952, 152380 410948, 152352 410813, 152340 410759, 152...>}"
13,"{'km_range': [118.647, 118.87], 'properties': {2: 'Vluchtstrook'}, 'geometry': <LINESTRING (151108 409636, 151114 409634, 151122 409633, 151127 409632, 151...>}","{'km_range': [118.647, 118.869], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook'}, 'geometry': <LINESTRING (151109 409636, 151114 409634, 151122 409633, 151127 409632, 151...>}"
14,"{'km_range': [3.619, 3.637], 'properties': {3: 'Puntstuk'}, 'geometry': <LINESTRING (148519 408175, 148507 408161)>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'L', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (150135 409031, 150109 409016, 150094 409010, 150076 409002, 150...>}"
15,"{'km_range': [2.486, 2.68], 'properties': {4: 'Vluchtstrook'}, 'geometry': <LINESTRING (149447 408815, 149446 408814, 149427 408807, 149409 408800, 149...>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'L', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (150135 409031, 150109 409016, 150094 409010, 150076 409002, 150...>}"
